timedelta_v2_lz0016.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
'wupwise', '0.93', '1.26', '0.67', '0.67', '100871', '84039', '126'
'ammp', '0.08', '1.37', '0.87', '0.72', '2976297', '2905174', '1002661'

timedelta_v2_lz1024.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
'twolf', '0.40', '0.92', '0.25', '0.35', '268197', '264912', '180430'
'art110', '0.12', '0.99', '0.65', '0.35', '2399610', '1356864', '1634062'
'art470', '0.12', '0.99', '0.65', '0.35', '2399610', '1356864', '1634062'
'bzip2_graphic', '1.38', '0.99', '0.12', '0.23', '26508', '26497', '13277'
'bzip2_source', '1.65', '0.99', '0.25', '0.21', '8892', '8874', '8300'
'bzip2_program', '1.17', '1.00', '0.25', '0.36', '34053', '33946', '19830'
'swim', '0.72', '1.00', '0.44', '0.32', '315002', '266788', '141948'
'galgel', '0.73', '1.07', '0.38', '0.34', '94140', '76399', '47633'
'apsi', '1.68', '1.12', '0.60', '0.30', '12418', '11132', '16774'
'applu', '0.52', '1.20', '0.94', '0.72', '623144', '499196', '165622'
'wupwise', '0.93', '1.26', '0.67', '0.67', '100871', '84039', '126'
'ammp', '0.08', '1.37', '0.87', '0.72', '2976297', '2905174', '1002661'

timedelta_v2_lz2048.cc:
['TEST', 'IPC', 'SPEEDUP', 'ACC', 'COV', 'IDENT', 'ISSUED', 'MISSES']
'twolf', '0.40', '0.92', '0.25', '0.35', '268197', '264912', '180430'
'art110', '0.12', '0.99', '0.65', '0.35', '2399610', '1356864', '1634062'
'art470', '0.12', '0.99', '0.65', '0.35', '2399610', '1356864', '1634062'
'bzip2_graphic', '1.38', '0.99', '0.12', '0.23', '26508', '26497', '13277'
'bzip2_source', '1.65', '0.99', '0.25', '0.21', '8892', '8874', '8300'
'bzip2_program', '1.17', '1.00', '0.25', '0.36', '34053', '33946', '19830'
'swim', '0.72', '1.00', '0.44', '0.32', '315002', '266788', '141948'
'galgel', '0.73', '1.07', '0.38', '0.34', '94140', '76399', '47633'
'apsi', '1.68', '1.12', '0.60', '0.30', '12418', '11132', '16774'
'applu', '0.52', '1.20', '0.94', '0.72', '623144', '499196', '165622'
'wupwise', '0.93', '1.26', '0.67', '0.67', '100871', '84039', '126'
'ammp', '0.08', '1.37', '0.87', '0.72', '2976297', '2905174', '1002661'

